ID,Group,Time,measurement
1,1,WD1,240
2,1,WD1,225
3,1,WD1,245
4,1,WD1,260
5,1,WD1,255
6,1,WD1,260
7,1,WD1,275
8,1,WD1,245
9,2,WD1,410
10,2,WD1,405
11,2,WD1,445
12,2,WD1,555
13,3,WD1,470
14,3,WD1,535
15,3,WD1,520
16,3,WD1,510
1,1,WD8,250
2,1,WD8,230
3,1,WD8,250
4,1,WD8,255
5,1,WD8,260
6,1,WD8,265
7,1,WD8,275
8,1,WD8,255
9,2,WD8,415
10,2,WD8,420
11,2,WD8,445
12,2,WD8,560
13,3,WD8,465
14,3,WD8,525
15,3,WD8,525
16,3,WD8,510
1,1,WD15,255
2,1,WD15,230
3,1,WD15,250
4,1,WD15,255
5,1,WD15,255
6,1,WD15,270
7,1,WD15,260
8,1,WD15,260
9,2,WD15,425
10,2,WD15,430
11,2,WD15,450
12,2,WD15,565
13,3,WD15,475
14,3,WD15,530
15,3,WD15,530
16,3,WD15,520
1,1,WD22,260
2,1,WD22,232
3,1,WD22,255
4,1,WD22,265
5,1,WD22,270
6,1,WD22,275
7,1,WD22,270
8,1,WD22,268
9,2,WD22,428
10,2,WD22,440
11,2,WD22,452
12,2,WD22,580
13,3,WD22,485
14,3,WD22,533
15,3,WD22,540
16,3,WD22,515
1,1,WD29,262
2,1,WD29,240
3,1,WD29,262
4,1,WD29,265
5,1,WD29,270
6,1,WD29,275
7,1,WD29,273
8,1,WD29,270
9,2,WD29,438
10,2,WD29,448
11,2,WD29,455
12,2,WD29,590
13,3,WD29,487
14,3,WD29,535
15,3,WD29,543
16,3,WD29,530
1,1,WD36,258
2,1,WD36,240
3,1,WD36,265
4,1,WD36,268
5,1,WD36,273
6,1,WD36,277
7,1,WD36,274
8,1,WD36,265
9,2,WD36,443
10,2,WD36,460
11,2,WD36,455
12,2,WD36,597
13,3,WD36,493
14,3,WD36,540
15,3,WD36,546
16,3,WD36,538
1,1,WD43,266
2,1,WD43,243
3,1,WD43,267
4,1,WD43,270
5,1,WD43,274
6,1,WD43,278
7,1,WD43,276
8,1,WD43,265
9,2,WD43,442
10,2,WD43,458
11,2,WD43,451
12,2,WD43,595
13,3,WD43,493
14,3,WD43,525
15,3,WD43,538
16,3,WD43,535
1,1,WD44,266
2,1,WD44,244
3,1,WD44,267
4,1,WD44,272
5,1,WD44,273
6,1,WD44,278
7,1,WD44,271
8,1,WD44,267
9,2,WD44,446
10,2,WD44,464
11,2,WD44,450
12,2,WD44,595
13,3,WD44,504
14,3,WD44,530
15,3,WD44,544
16,3,WD44,542
1,1,WD50,265
2,1,WD50,238
3,1,WD50,264
4,1,WD50,274
5,1,WD50,276
6,1,WD50,284
7,1,WD50,282
8,1,WD50,273
9,2,WD50,456
10,2,WD50,475
11,2,WD50,462
12,2,WD50,612
13,3,WD50,507
14,3,WD50,543
15,3,WD50,553
16,3,WD50,550
1,1,WD57,272
2,1,WD57,247
3,1,WD57,268
4,1,WD57,273
5,1,WD57,278
6,1,WD57,279
7,1,WD57,281
8,1,WD57,274
9,2,WD57,468
10,2,WD57,484
11,2,WD57,466
12,2,WD57,618
13,3,WD57,518
14,3,WD57,544
15,3,WD57,555
16,3,WD57,553
1,1,WD64,278
2,1,WD64,245
3,1,WD64,269
4,1,WD64,275
5,1,WD64,280
6,1,WD64,281
7,1,WD64,284
8,1,WD64,278
9,2,WD64,478
10,2,WD64,496
11,2,WD64,472
12,2,WD64,628
13,3,WD64,525
14,3,WD64,559
15,3,WD64,548
16,3,WD64,569
